"id","license_date","name","phone","city","district","road_address","loc_address","zipcode","lat","lng","status","created_at","updated_at"
1,20210202,추동물병원,**********,충청북도,영동군,"충청북도 영동군 영동읍 난계로 1166-1, 추동물병원",충청북도 영동군 영동읍 부용리 346-9 추동물병원,29149,"297446.9219","269459.441",정상,"2021-11-09 14:23:05","2021-11-09 14:23:05"
2,20210126,도그스타 동물병원,"031-291-8896",경기도,수원시,"경기도 수원시 권선구 호매실로218번길 124, 202호 (호매실동)",경기도 수원시 권선구 호매실동 1375-1 202호,16402,"418242.4068","196493.9366",정상,"2021-11-09 14:23:05","2021-11-09 14:23:05"
3,20210122,소담동물병원,**********,경상북도,울진군,경상북도 울진군 평해읍 월송정로 143,경상북도 울진군 평해읍 평해리 462-4,36366,"361268.6617","418279.6423",정상,"2021-11-09 14:23:05","2021-11-09 14:23:05"
4,20210122,우리동물병원,**********,전라북도,정읍시,"전라북도 정읍시 이평면 황토현로 298, 만석식당 2층",전라북도 정읍시 이평면 두지리 195 만석식당,56144,"240487.3099","185270.3078",정상,"2021-11-09 14:23:05","2021-11-09 14:23:05"
5,20201209,원 동물병원,**********,충청북도,청주시,충청북도 청주시 흥덕구 상신로 138-68 (상신동),충청북도 청주시 흥덕구 상신동 106-2,28303,"352447.6661","238737.9236",정상,"2021-11-09 14:23:05","2021-11-09 14:23:05"
6,20210113,연산동물의료센터,"051-791-0175",부산광역시,연제구,부산광역시 연제구 연수로 135 (연산동),부산광역시 연제구 연산동 1953-1,47603,"188188.0447","389916.4819",정상,"2021-11-09 14:23:05","2021-11-09 14:23:05"
7,20210128,일리동물의료센터,"031-213-1275",경기도,수원시,"경기도 수원시 영통구 법조로 25, 광교 SK VIEW Lake 근린생활비 112~114호 (하동)",경기도 수원시 영통구 하동 1016-1 광교 SK VIEW Lake 근린생활비 112~114호,16514,"420610.7825","205273.9318",정상,"2021-11-09 14:23:05","2021-11-09 14:23:05"
8,20210119,하정 동물병원,**********,전라남도,영광군,"전라남도 영광군 영광읍 백수로 1640, 나동",전라남도 영광군 영광읍 신하리 586-8,57038,"198224.5536","153063.5224",정상,"2021-11-09 14:23:05","2021-11-09 14:23:05"
9,20210118,동물병원 Dr.정,"031-733-9325",경기도,성남시,"경기도 성남시 중원구 산성대로 498, 1층 102호 (은행동)",경기도 성남시 중원구 은행동 1633,13157,"439277.3779","214315.8212",정상,"2021-11-09 14:23:05","2021-11-09 14:23:05"
10,20210125,아산아이윌24시동물메디컬센터,"041-532-3332",충청남도,아산시,"충청남도 아산시 온천대로 1676, 1층 (풍기동)",충청남도 아산시 풍기동 485,31528,,,정상,"2021-11-09 14:23:05","2021-11-09 14:23:05"
11,20210128,카라동물병원,"031-959-8600",경기도,파주시,경기도 파주시 법원읍 술이홀로 1409,경기도 파주시 법원읍 금곡리 230,10806,"487869.5969","189371.3068",정상,"2021-11-09 14:23:05","2021-11-09 14:23:05"
12,20210204,봄앤동물병원,"02-2038-7718",경기도,과천시,"경기도 과천시 별양로 164, 상가동 2층 205호 (부림동, 과천센트럴파크푸르지오써밋)",경기도 과천시 부림동 49 과천센트럴파크푸르지오써밋 상가동 205호,13832,"436651.4918","199935.9821",정상,"2021-11-09 14:23:05","2021-11-09 14:23:05"
13,20201231,유앤아이동물병원,"031-994-7582",경기도,하남시,"경기도 하남시 미사강변남로 91, 르보아파크 Ⅱ 1층 119,120호 (망월동)","경기도 하남시 망월동 1119-1 르보아파크 Ⅱ,120호 119호",12913,"450950.3161","216875.0045",정상,"2021-11-09 14:23:05","2021-11-09 14:23:05"
14,20210114,골드퍼피&실버캣,**********,서울특별시,중랑구,"서울특별시 중랑구 봉화산로 39-1, 유정빌딩 2층 201호 (중화동)",서울특별시 중랑구 중화동 305-44 유정빌딩 201동,2017,"455496.6194","206886.4766",정상,"2021-11-09 14:23:05","2021-11-09 14:23:05"
