"id","user_id","pet_breed_id","image_id","name","birth","gender","neuter_yn","weight_kg","color","account","animal_regnum","pet_owner_name","ai_inference_data","site_gb","created_at","updated_at"
47,7,1101,4,스칼렛,"2021-08-06",여자,n,3.0,흰색+갈색,"210806-1101-0047","","","",petfins,"2021-08-25 16:16:46","2021-10-28 10:58:41"
48,7,1101,5,핫도그,"2021-08-25",남자,y,5.0,금색,"210825-1101-0048","","","",petfins,"2021-08-25 16:21:57","2021-10-28 10:58:41"
51,7,1101,,흰둥이,"2021-08-25",남자,n,4.0,흰색,"210825-1101-0051","","","",petfins,"2021-08-25 16:40:35","2021-10-28 10:58:41"
52,7,1101,6,검둥이,"2021-08-25",남자,y,5.0,검정색,"210825-1101-0052","","","",petfins,"2021-08-25 16:52:39","2021-10-28 10:58:41"
53,28,1108,14,바간디,"2021-10-05",여자,y,5.0,갈색,"211005-1108-0053","","","",petfins,"2021-09-07 14:15:45","2021-10-28 10:58:41"
55,29,1103,16,doggy,"2020-03-03",남자,y,1.0,흰색,"200303-1103-0055","","","",petfins,"2021-09-07 14:35:38","2021-10-28 10:58:41"
56,29,2003,,catty,"2018-03-07",여자,n,,금색,"180307-2003-0056","","","",petfins,"2021-09-07 14:38:35","2021-10-28 10:58:41"
57,29,1107,,asdf,"1975-10-01",여자,n,1.0,황색,"751001-1107-0057","","","",petfins,"2021-09-07 14:41:01","2021-10-28 10:58:41"
59,31,1138,39,이쁜냥이,"2017-10-03",남자,y,12.0,금색,"171003-1138-0059","","","",petfins,"2021-09-10 23:57:34","2021-10-28 10:58:41"
60,31,1645,40,새침이,"2021-03-03",남자,y,11.0,황색,"210303-1645-0060","","","",petfins,"2021-09-11 00:03:12","2021-10-28 10:58:41"
61,31,1209,58,가면왕라이드,"2020-01-20",여자,n,12.5,흰색+갈색,"200120-1209-0061","","","",petfins,"2021-09-11 09:32:00","2021-10-28 10:58:41"
62,31,2080,,낭만길고양이,"2020-10-11",여자,y,13.0,갈색,"201011-2080-0062","","","",petfins,"2021-09-11 13:33:58","2021-10-28 10:58:41"
63,32,1103,60,남자견,"2020-09-11",남자,y,1.0,금색,"200911-1103-0063","","","",petfins,"2021-09-11 14:27:34","2021-10-28 10:58:41"
64,32,2002,61,여자묘,"2020-09-11",여자,n,1.0,흰색,"200911-2002-0064","","","",petfins,"2021-09-11 14:28:34","2021-10-28 10:58:41"
65,32,1132,,남자견2,"2020-09-11",남자,y,12.0,금색,"200911-1132-0065","","","",petfins,"2021-09-11 16:32:44","2021-10-28 10:58:41"
66,32,1101,,남자견,"2019-09-11",남자,y,1.0,금색,"190911-1101-0066","","","",petfins,"2021-09-11 17:06:51","2021-10-28 10:58:41"
67,33,1128,,스칼렛,"2021-09-13",여자,n,4.0,갈색,"210913-1128-0067","","","",petfins,"2021-09-13 10:29:35","2021-10-28 10:58:41"
70,33,1310,,맹견이,"2021-09-14",남자,y,8.0,검정색,"210914-1310-0070","","","",petfins,"2021-09-14 12:01:48","2021-10-28 10:58:41"
71,47,1144,94,다롱이,"2019-11-17",남자,y,1.0,검정색,"210703-1105-0071","","","",petfins,"2021-09-15 09:17:14","2022-06-14 17:11:37"
72,47,1105,260,고양이,"2019-05-15",여자,n,6.0,황색,"200515-2025-0072","","","",petfins,"2021-09-15 09:28:45","2022-03-08 10:53:18"
76,50,1144,,몽,"2015-03-17",남자,y,3.0,갈색,"150317-1144-0076","","","",petfins,"2021-09-15 15:34:42","2021-10-28 10:58:41"
77,50,2001,,턱시도,"2021-09-15",여자,n,5.0,흰색+검정색,"210915-2001-0077","","","",petfins,"2021-09-15 15:39:30","2021-10-28 10:58:41"
78,52,1210,,테스트,"2021-12-31",남자,y,14.0,황색,"211231-1210-0078","","","",petfins,"2021-09-15 15:55:37","2021-10-28 10:58:41"
79,52,2005,,테스트2,"2021-03-15",남자,y,1.0,갈색,"210315-2005-0079","","","",petfins,"2021-09-15 15:56:34","2021-10-28 10:58:41"
80,52,1105,72,"1","2021-09-29",남자,n,1.0,갈색,"210929-1105-0080","","","",petfins,"2021-09-15 15:59:30","2021-10-28 10:58:41"
81,52,2004,,ㄱ쇼,"2021-09-15",남자,y,111.0,황색,"210915-2004-0081","","","",petfins,"2021-09-15 15:59:51","2021-10-28 10:58:41"
82,51,1210,73,로또,"2021-01-06",남자,y,17.0,황색,"210106-1210-0082","","","",petfins,"2021-09-15 16:15:17","2021-10-28 10:58:41"
83,50,1121,95,보미,"2017-05-01",남자,n,5.0,흰색,"130501-1101-0083","","","",petfins,"2021-09-15 16:17:41","2021-10-29 17:16:23"
85,51,1109,77,두부,"2020-05-15",여자,n,2.0,흰색,"200515-1109-0085","","","",petfins,"2021-09-15 16:51:41","2021-10-28 10:58:41"
86,53,1149,78,코코,"2020-06-15",남자,y,4.0,흰색,"210615-1217-0086","","","",petfins,"2021-09-15 16:54:33","2021-11-11 09:41:42"
87,51,2014,79,뭉치,"2021-01-15",여자,y,2.0,흰색,"210115-2014-0087","","","",petfins,"2021-09-15 17:11:22","2021-10-28 10:58:41"
89,118,1210,,콩이,"2016-01-01",여자,n,5.0,갈색,"160101-1210-0089","","","",petfins,"2021-09-17 13:57:45","2021-10-28 10:58:41"
90,125,1103,82,겸둥이2,"2021-02-02",남자,n,5.0,회색,"210202-1103-0090","","","",petfins,"2021-09-17 19:52:30","2021-10-28 10:58:41"
91,125,1110,,겸둥이2,"2021-09-02",남자,y,10.0,황색,"210902-1110-0091","","","",petfins,"2021-09-19 07:15:18","2021-10-28 10:58:41"
92,125,2004,86,깜직고양이12,"2021-09-04",남자,n,4.0,황색,"210904-2004-0092","","","",petfins,"2021-09-19 07:16:13","2021-10-28 10:58:41"
93,125,2004,,이쁜걍쥐1,"2021-09-03",여자,y,5.0,황색,"210903-2004-0093","","","",petfins,"2021-09-19 07:26:46","2021-10-28 10:58:41"
94,130,1114,88,이쁜강아지,"2021-09-19",남자,y,11.0,갈색,"210919-1114-0094","","","",petfins,"2021-09-19 08:31:37","2021-10-28 10:58:41"
