id,type,name,size_type,premium_yn,wild_yn,group_type,samsung_yn,delete_yn,created_at,updated_at
1101,강아지,"기타A/믹스견 (5kg 이하)",소형견,n,n,그룹없음,NULL,n,"2021-09-07 12:40:46","2021-11-14 22:36:59"
1102,강아지,"기타B/믹스견 (5kg 초과 12kg 미만)",소형견,n,n,그룹없음,NULL,n,"2021-09-07 12:40:46","2021-11-02 23:04:02"
1103,강아지,노리치테리어,소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1104,강아지,노르포크테리어,소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1105,강아지,닥스훈트,소형견,n,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1106,강아지,댄디딘몬테리어,소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1107,강아지,라사압소,소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1108,강아지,레이크랜드테리어,소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1109,강아지,"말티즈 (몰티즈)",소형견,n,n,그룹2,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1110,강아지,미니어처닥스훈트,소형견,n,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1111,강아지,미니어처불테리어,소형견,y,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1112,강아지,미니어처슈나우저,소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1113,강아지,미니어처푸들,소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1114,강아지,미니어처핀셔,소형견,n,n,그룹2,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1115,강아지,바센지,소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1116,강아지,베들링턴테리어,소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1117,강아지,보스턴테리어,소형견,n,n,그룹2,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1118,강아지,볼로그네제,소형견,n,n,NULL,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1119,강아지,브뤼셀그리펀,소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1120,강아지,비글,소형견,n,n,그룹2,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1121,강아지,비숑프리제,소형견,n,n,그룹2,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1122,강아지,셔틀랜드쉽독,소형견,n,n,그룹2,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1123,강아지,스코티시테리어,소형견,n,n,그룹2,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1124,강아지,스키퍼키,소형견,n,n,NULL,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1125,강아지,"시바 (시바이누)",소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1126,강아지,"시추 (시츄)",소형견,n,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1127,강아지,실리햄테리어,소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1128,강아지,요크셔테리어,소형견,n,n,그룹2,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1129,강아지,웨스트하이랜드화이트테리어,소형견,n,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1130,강아지,"웰시코기 (웰시코기펨브록)",소형견,n,n,그룹2,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1131,강아지,웰시테리어,소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1132,강아지,이탈리안그레이하운드,소형견,n,n,그룹2,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1133,강아지,잭러셀테리어,소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1134,강아지,제페니즈스피츠,소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1135,강아지,제패니즈칭,소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1136,강아지,제페니즈테리어,소형견,n,n,NULL,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1137,강아지,차이니즈크래스티드독,소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1138,강아지,치와와,소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1139,강아지,웰시코기카디건,소형견,n,n,NULL,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1140,강아지,캐발리아킹찰스스파니엘,소형견,n,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1141,강아지,케언테리어,소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1142,강아지,쿠이커혼제,소형견,n,n,NULL,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1143,강아지,토이맨체스터테리어,소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1144,강아지,토이푸들,소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1145,강아지,티베탄스파니엘,소형견,n,n,NULL,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1146,강아지,"빠삐용(파피용, 콘티넨탈토이스파니엘)",소형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1147,강아지,퍼그,소형견,n,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1148,강아지,"패키니즈 (퍼니키즈)",소형견,n,n,그룹2,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1149,강아지,포메라니안,소형견,n,n,그룹2,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1150,강아지,폭스테리어,소형견,n,n,그룹2,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1151,강아지,카닌헨닥스훈트,소형견,n,n,NULL,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1201,강아지,"기타C/믹스견 (15kg 초과 25kg 이하)",중형견,n,n,그룹없음,NULL,n,"2021-09-07 12:40:46","2022-01-14 17:48:01"
1202,강아지,미디엄푸들,중형견,n,n,그룹없음,NULL,n,"2021-09-07 12:40:46","2021-11-03 10:48:55"
1203,강아지,보더콜리,중형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1204,강아지,불테리어,중형견,y,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1205,강아지,브리타니스파니엘,중형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1206,강아지,비어디드콜리,중형견,y,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1207,강아지,삽살개,중형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1208,강아지,스탠다드슈나우저,중형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1209,강아지,스태퍼드셔불테리어,중형견,y,y,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1210,강아지,아메리칸스태퍼드셔테리어,중형견,y,y,그룹2,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1211,강아지,아메리칸코카스파니엘,중형견,n,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1212,강아지,아이리시테리어,중형견,n,n,NULL,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1213,강아지,오스트렐리안케틀독,중형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1214,강아지,잉글리시스프링어스파니엘,중형견,n,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1215,강아지,잉글리시코카스페니엘,중형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1216,강아지,저먼핀셔,중형견,n,n,NULL,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1217,강아지,"진돗개 (진도)",중형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1218,강아지,"카이견 (카이)",중형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1219,강아지,케리블루테리어,중형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1220,강아지,케이스혼트,중형견,n,n,NULL,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1221,강아지,티베탄테리어,중형견,n,n,NULL,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1222,강아지,폴리시롤런드쉽독,중형견,n,n,NULL,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1223,강아지,풀리,중형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1224,강아지,프랜치불독,중형견,y,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1225,강아지,프티바세그리퐁방댕,중형견,n,n,NULL,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1226,강아지,"홋카이도견 (호카이도)",중형견,n,n,그룹1,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1227,강아지,"휘핏 (휘펫)",중형견,n,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1228,강아지,피레니안쉽독,중형견,n,n,NULL,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1301,강아지,골든리트리버,대형견,n,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1302,강아지,그레이트덴,대형견,n,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1303,강아지,그레이트피레니즈,대형견,y,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1304,강아지,"기타D/믹스견 (25kg 초과 35kg 이하)",대형견,n,n,NULL,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1305,강아지,"기타E/믹스견 (35kg 초과)",대형견,n,n,NULL,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1306,강아지,나폴리탄마스티프,대형견,y,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1307,강아지,뉴펀들랜드,대형견,y,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1308,강아지,달마시안,대형견,n,n,그룹2,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1309,강아지,"도베르만 (도베르만핀셔)",대형견,y,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1310,강아지,도사견,대형견,y,y,그룹없음,NULL,n,"2021-09-07 12:40:46","2021-11-03 11:56:34"
1311,강아지,라브라도리트리버,대형견,n,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1312,강아지,로트와일러(롯트바일러),대형견,y,y,그룹2,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1313,강아지,마스티프,대형견,y,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1314,강아지,바셋하운드,대형견,n,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1315,강아지,버니즈마운틴독,대형견,y,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1316,강아지,볼조이,대형견,n,n,그룹2,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1317,강아지,복서,대형견,n,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1318,강아지,불마스티프,대형견,y,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1319,강아지,불독,대형견,y,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1320,강아지,사모예드,대형견,n,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1321,강아지,살루키,대형견,n,n,그룹2,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
1322,강아지,세인트버나드,대형견,y,n,그룹3,NULL,n,"2021-09-07 12:40:46","2021-09-12 03:00:37"
